DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,MEDIUM,1.0,,39.931,34.944,99.51
1,VER,2.0,MEDIUM,2.0,18.209,54.569,42.16,114.938
1,VER,3.0,MEDIUM,3.0,23.196,41.997,32.858,98.051
1,VER,4.0,MEDIUM,4.0,18.166,38.187,33.151,89.504
1,VER,5.0,MEDIUM,5.0,18.056,37.945,33.812,89.813
1,VER,6.0,MEDIUM,6.0,18.012,38.101,33.299,89.412
1,VER,7.0,MEDIUM,7.0,18.085,38.58,33.22,89.885
1,VER,8.0,MEDIUM,8.0,18.021,37.966,33.837,89.824
1,VER,9.0,MEDIUM,9.0,18.085,38.121,33.239,89.445
1,VER,10.0,MEDIUM,10.0,18.135,38.811,33.503,90.449
1,VER,11.0,MEDIUM,11.0,18.08,38.538,33.777,90.395
1,VER,12.0,MEDIUM,12.0,18.099,38.564,33.501,90.164
1,VER,13.0,MEDIUM,13.0,18.103,38.737,33.338,90.178
1,VER,14.0,MEDIUM,14.0,18.006,38.876,33.246,90.128
1,VER,15.0,MEDIUM,15.0,18.019,38.636,33.221,89.876
1,VER,16.0,MEDIUM,16.0,18.052,38.838,33.157,90.047
1,VER,17.0,MEDIUM,17.0,17.979,38.793,33.137,89.909
1,VER,18.0,MEDIUM,18.0,18.028,38.64,33.158,89.826
1,VER,19.0,MEDIUM,19.0,18.077,38.705,33.294,90.076
1,VER,20.0,MEDIUM,20.0,18.006,38.823,33.175,90.004
1,VER,21.0,MEDIUM,21.0,17.975,38.588,33.132,89.695
1,VER,22.0,MEDIUM,22.0,18.023,38.754,33.112,89.889
1,VER,23.0,MEDIUM,23.0,17.972,38.798,33.169,89.939
1,VER,24.0,MEDIUM,24.0,17.969,38.653,33.128,89.75
1,VER,25.0,MEDIUM,25.0,17.97,38.656,33.226,89.852
1,VER,26.0,MEDIUM,26.0,17.964,38.827,33.477,90.268
1,VER,27.0,MEDIUM,27.0,17.942,38.858,33.097,89.897
1,VER,28.0,MEDIUM,28.0,17.994,39.156,33.124,90.274
1,VER,29.0,MEDIUM,29.0,17.92,38.668,35.269,91.857
1,VER,30.0,HARD,1.0,49.136,38.137,32.222,119.495
1,VER,31.0,HARD,2.0,17.867,37.731,32.49,88.088
1,VER,32.0,HARD,3.0,17.891,38.182,32.455,88.528
1,VER,33.0,HARD,4.0,17.735,38.162,32.436,88.333
1,VER,34.0,HARD,5.0,17.725,38.227,32.457,88.409
1,VER,35.0,HARD,6.0,17.662,37.912,33.537,89.111
1,VER,36.0,HARD,7.0,18.023,37.998,32.536,88.557
1,VER,37.0,HARD,8.0,17.714,38.254,32.445,88.413
1,VER,38.0,HARD,9.0,17.67,38.204,32.486,88.36
1,VER,39.0,HARD,10.0,17.724,38.101,32.471,88.296
1,VER,40.0,HARD,11.0,17.675,38.155,32.515,88.345
1,VER,41.0,HARD,12.0,17.698,38.222,32.519,88.439
1,VER,42.0,HARD,13.0,17.576,38.066,32.471,88.113
1,VER,43.0,HARD,14.0,17.685,37.847,32.557,88.089
1,VER,44.0,HARD,15.0,17.655,38.235,32.611,88.501
1,VER,45.0,HARD,16.0,17.648,37.861,32.558,88.067
1,VER,46.0,HARD,17.0,17.595,38.288,32.348,88.231
1,VER,47.0,HARD,18.0,17.635,38.232,32.437,88.304
1,VER,48.0,HARD,19.0,17.65,38.031,32.212,87.893
1,VER,49.0,HARD,20.0,17.56,38.215,32.152,87.927
1,VER,50.0,HARD,21.0,17.569,38.245,32.147,87.961
1,VER,51.0,HARD,22.0,17.543,38.151,32.126,87.82
1,VER,52.0,HARD,23.0,17.592,38.194,32.261,88.047
1,VER,53.0,HARD,24.0,17.553,38.239,32.272,88.064
1,VER,54.0,HARD,25.0,17.701,38.164,32.487,88.352
1,VER,55.0,HARD,26.0,17.648,37.893,32.28,87.821
1,VER,56.0,HARD,27.0,17.571,38.063,32.131,87.765
1,VER,57.0,HARD,28.0,17.565,38.204,32.405,88.174
1,VER,58.0,HARD,29.0,17.676,38.262,32.842,88.78
10,GAS,1.0,MEDIUM,1.0,,38.658,33.126,93.984
10,GAS,2.0,MEDIUM,2.0,18.158,46.804,44.798,109.76
10,GAS,3.0,MEDIUM,3.0,25.771,44.128,32.938,102.837
10,GAS,4.0,MEDIUM,4.0,17.935,37.997,33.474,89.406
10,GAS,5.0,MEDIUM,5.0,18.105,38.555,32.951,89.611
10,GAS,6.0,MEDIUM,6.0,18.14,38.62,33.254,90.014
