DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
63,RUS,1.0,MEDIUM,2.0,,33.383,37.566,103.267
63,RUS,2.0,MEDIUM,3.0,28.738,33.235,37.104,99.077
63,RUS,3.0,MEDIUM,4.0,28.368,33.152,37.344,98.864
63,RUS,4.0,MEDIUM,5.0,28.229,32.97,37.549,98.748
63,RUS,5.0,MEDIUM,6.0,28.341,32.594,37.201,98.136
63,RUS,6.0,MEDIUM,7.0,28.217,33.033,37.08,98.33
63,RUS,7.0,MEDIUM,8.0,28.127,33.232,37.139,98.498
63,RUS,8.0,MEDIUM,9.0,28.106,33.174,37.073,98.353
63,RUS,9.0,MEDIUM,10.0,28.174,33.293,37.284,98.751
63,RUS,10.0,MEDIUM,11.0,28.296,33.247,37.138,98.681
63,RUS,11.0,MEDIUM,12.0,28.305,33.335,37.049,98.689
63,RUS,12.0,MEDIUM,13.0,28.363,33.385,41.774,103.522
63,RUS,13.0,HARD,2.0,44.155,33.616,36.983,114.754
63,RUS,14.0,HARD,3.0,28.196,33.058,37.042,98.296
63,RUS,15.0,HARD,4.0,28.212,33.012,37.107,98.331
63,RUS,16.0,HARD,5.0,28.035,32.943,36.935,97.913
63,RUS,17.0,HARD,6.0,28.025,32.926,36.918,97.869
63,RUS,18.0,HARD,7.0,28.028,32.974,36.962,97.964
63,RUS,19.0,HARD,8.0,28.084,32.989,36.93,98.003
63,RUS,20.0,HARD,9.0,27.982,32.966,36.785,97.733
63,RUS,21.0,HARD,10.0,27.868,32.675,36.816,97.359
63,RUS,22.0,HARD,11.0,27.94,32.754,36.862,97.556
63,RUS,23.0,HARD,12.0,27.956,32.895,36.879,97.73
63,RUS,24.0,HARD,13.0,27.961,32.736,36.879,97.576
63,RUS,25.0,HARD,14.0,27.928,32.843,36.953,97.724
63,RUS,26.0,HARD,15.0,27.795,32.834,36.838,97.467
63,RUS,27.0,HARD,16.0,27.811,32.964,36.834,97.609
63,RUS,28.0,HARD,17.0,27.884,33.183,36.829,97.896
63,RUS,29.0,HARD,18.0,28.074,32.784,36.698,97.556
63,RUS,30.0,HARD,19.0,27.92,32.88,36.744,97.544
63,RUS,31.0,HARD,20.0,27.957,33.099,36.745,97.801
63,RUS,32.0,HARD,21.0,27.884,32.879,41.466,102.229
63,RUS,33.0,HARD,2.0,43.646,33.163,36.894,113.703
63,RUS,34.0,HARD,3.0,28.03,32.853,36.738,97.621
63,RUS,35.0,HARD,4.0,27.863,32.699,36.684,97.246
63,RUS,36.0,HARD,5.0,27.877,32.526,36.618,97.021
63,RUS,37.0,HARD,6.0,27.701,32.571,36.572,96.844
63,RUS,38.0,HARD,7.0,27.727,32.318,36.362,96.407
63,RUS,39.0,HARD,8.0,27.625,32.313,36.337,96.275
63,RUS,40.0,HARD,9.0,27.508,32.436,36.414,96.358
63,RUS,41.0,HARD,10.0,27.864,32.244,36.451,96.559
63,RUS,42.0,HARD,11.0,27.64,32.252,36.452,96.344
63,RUS,43.0,HARD,12.0,27.377,32.164,36.41,95.951
63,RUS,44.0,HARD,13.0,27.286,32.186,36.474,95.946
63,RUS,45.0,HARD,14.0,27.342,32.301,36.414,96.057
63,RUS,46.0,HARD,15.0,27.305,31.481,36.418,95.717
63,RUS,47.0,HARD,16.0,27.52,31.784,36.547,96.36
63,RUS,48.0,HARD,17.0,27.685,32.411,36.567,96.663
63,RUS,49.0,HARD,18.0,27.937,32.667,36.6,97.204
63,RUS,50.0,HARD,19.0,27.958,32.969,36.94,97.867
44,HAM,1.0,MEDIUM,1.0,,35.485,37.257,109.116
44,HAM,2.0,MEDIUM,2.0,29.367,33.928,36.738,100.033
44,HAM,3.0,MEDIUM,3.0,28.871,33.591,36.941,99.403
44,HAM,4.0,MEDIUM,4.0,28.765,33.635,36.757,99.157
44,HAM,5.0,MEDIUM,5.0,28.913,33.433,36.861,99.207
44,HAM,6.0,MEDIUM,6.0,28.584,33.399,36.665,98.648
44,HAM,7.0,MEDIUM,7.0,28.916,33.66,37.659,100.235
44,HAM,8.0,MEDIUM,8.0,28.856,33.794,36.445,99.095
44,HAM,9.0,MEDIUM,9.0,29.819,34.233,36.874,100.926
44,HAM,10.0,MEDIUM,10.0,29.082,34.403,36.715,100.2
44,HAM,11.0,MEDIUM,11.0,28.382,33.303,37.322,99.007
44,HAM,12.0,MEDIUM,12.0,28.293,33.373,37.412,99.078
44,HAM,13.0,MEDIUM,13.0,28.093,33.448,41.649,103.19
44,HAM,14.0,HARD,2.0,44.152,34.331,36.445,114.928
44,HAM,15.0,HARD,3.0,28.211,32.973,36.588,97.772
44,HAM,16.0,HARD,4.0,27.837,32.943,36.311,97.091
44,HAM,17.0,HARD,5.0,28.064,34.785,36.505,99.354
44,HAM,18.0,HARD,6.0,27.883,33.098,36.687,97.668
44,HAM,19.0,HARD,7.0,28.221,33.137,36.782,98.14
44,HAM,20.0,HARD,8.0,27.757,32.963,36.555,97.275
44,HAM,21.0,HARD,9.0,27.836,32.873,36.646,97.355
44,HAM,22.0,HARD,10.0,27.81,32.827,36.449,97.086
44,HAM,23.0,HARD,11.0,27.819,32.952,36.35,97.121
44,HAM,24.0,HARD,12.0,27.752,33.049,36.522,97.323
44,HAM,25.0,HARD,13.0,28.11,33.248,36.855,98.213
44,HAM,26.0,HARD,14.0,27.806,32.808,36.441,97.055
44,HAM,27.0,HARD,15.0,28.336,33.353,42.141,103.83
44,HAM,28.0,HARD,2.0,43.972,32.501,36.429,112.902
44,HAM,29.0,HARD,3.0,27.497,32.895,36.559,96.951
44,HAM,30.0,HARD,4.0,27.623,32.444,36.681,96.748
44,HAM,31.0,HARD,5.0,27.615,32.608,36.189,96.412
44,HAM,32.0,HARD,6.0,27.654,32.535,36.771,96.96
44,HAM,33.0,HARD,7.0,27.776,32.702,36.815,97.293
44,HAM,34.0,HARD,8.0,27.503,32.496,36.686,96.685
44,HAM,35.0,HARD,9.0,27.461,32.399,36.537,96.397
44,HAM,36.0,HARD,10.0,27.576,32.313,36.399,96.288
44,HAM,37.0,HARD,11.0,27.432,32.365,36.38,96.177
44,HAM,38.0,HARD,12.0,27.307,32.407,36.434,96.148
44,HAM,39.0,HARD,13.0,27.222,32.265,36.393,95.88
44,HAM,40.0,HARD,14.0,27.203,32.36,36.365,95.928
44,HAM,41.0,HARD,15.0,27.224,32.01,36.246,95.48
44,HAM,42.0,HARD,16.0,27.416,32.269,36.199,95.884
44,HAM,43.0,HARD,17.0,27.322,32.484,36.057,95.863
44,HAM,44.0,HARD,18.0,27.175,32.161,36.326,95.662
44,HAM,45.0,HARD,19.0,27.189,32.368,36.431,95.988
44,HAM,46.0,HARD,20.0,27.327,31.86,36.176,95.877
44,HAM,47.0,HARD,21.0,27.452,33.052,36.582,97.086
44,HAM,48.0,HARD,22.0,27.976,32.921,36.56,97.457
44,HAM,49.0,HARD,23.0,27.868,33.142,36.583,97.593
44,HAM,50.0,HARD,24.0,28.003,33.322,36.792,98.117
55,SAI,1.0,MEDIUM,1.0,,33.928,37.359,104.812
55,SAI,2.0,MEDIUM,2.0,28.957,33.526,36.983,99.466
55,SAI,3.0,MEDIUM,3.0,28.46,33.303,36.818,98.581
55,SAI,4.0,MEDIUM,4.0,28.249,33.28,37.008,98.537
55,SAI,5.0,MEDIUM,5.0,28.344,33.263,36.787,98.394
55,SAI,6.0,MEDIUM,6.0,28.476,33.5,36.732,98.708
55,SAI,7.0,MEDIUM,7.0,28.421,33.683,36.938,99.042
55,SAI,8.0,MEDIUM,8.0,28.653,33.609,37.322,99.584
55,SAI,9.0,MEDIUM,9.0,28.667,34.278,37.567,100.512
55,SAI,10.0,MEDIUM,10.0,29.049,34.803,42.71,106.562
55,SAI,11.0,HARD,1.0,44.285,33.688,36.686,114.659
55,SAI,12.0,HARD,2.0,29.112,34.863,36.819,100.794
55,SAI,13.0,HARD,3.0,28.851,34.472,36.304,99.627
55,SAI,14.0,HARD,4.0,27.9,33.284,36.737,97.921
55,SAI,15.0,HARD,5.0,28.179,33.3,36.741,98.22
55,SAI,16.0,HARD,6.0,28.374,34.015,36.479,98.868
55,SAI,17.0,HARD,7.0,27.977,33.244,36.746,97.967
55,SAI,18.0,HARD,8.0,28.257,33.121,36.698,98.076
55,SAI,19.0,HARD,9.0,27.989,33.162,36.612,97.763
55,SAI,20.0,HARD,10.0,27.868,33.259,36.647,97.774
55,SAI,21.0,HARD,11.0,27.917,32.942,36.687,97.546
55,SAI,22.0,HARD,12.0,27.756,33.082,36.676,97.514
55,SAI,23.0,HARD,13.0,27.945,33.053,36.479,97.477
55,SAI,24.0,HARD,14.0,27.906,33.281,36.732,97.919
55,SAI,25.0,HARD,15.0,28.118,33.259,36.567,97.944
55,SAI,26.0,HARD,16.0,28.022,33.407,36.892,98.321
55,SAI,27.0,HARD,17.0,28.367,33.466,39.778,101.611
55,SAI,28.0,HARD,18.0,29.544,33.371,40.74,103.655
55,SAI,29.0,HARD,1.0,43.538,32.895,36.655,113.088
55,SAI,30.0,HARD,2.0,27.882,32.762,36.709,97.353
55,SAI,31.0,HARD,3.0,27.797,32.65,36.526,96.973
55,SAI,32.0,HARD,4.0,27.94,32.939,36.518,97.397
55,SAI,33.0,HARD,5.0,27.892,32.993,36.639,97.524
55,SAI,34.0,HARD,6.0,27.74,32.889,36.517,97.146
55,SAI,35.0,HARD,7.0,27.678,32.744,36.219,96.641
55,SAI,36.0,HARD,8.0,27.598,32.659,36.262,96.519
55,SAI,37.0,HARD,9.0,27.557,32.742,36.21,96.509
55,SAI,38.0,HARD,10.0,27.607,32.325,36.193,96.125
55,SAI,39.0,HARD,11.0,27.642,32.452,36.102,96.196
55,SAI,40.0,HARD,12.0,27.486,32.417,36.14,96.043
55,SAI,41.0,HARD,13.0,27.579,32.837,36.091,96.507
55,SAI,42.0,HARD,14.0,27.494,32.393,36.336,96.223
55,SAI,43.0,HARD,15.0,27.483,32.4,36.419,96.302
55,SAI,44.0,HARD,16.0,27.246,32.321,36.308,95.875
55,SAI,45.0,HARD,17.0,27.501,32.642,36.197,96.34
55,SAI,46.0,HARD,18.0,27.399,31.926,36.299,96.139
55,SAI,47.0,HARD,19.0,27.363,32.253,36.264,95.88
55,SAI,48.0,HARD,20.0,27.396,32.326,36.293,96.015
55,SAI,49.0,HARD,21.0,27.456,32.474,36.537,96.467
55,SAI,50.0,HARD,22.0,27.776,32.826,36.157,96.759
16,LEC,1.0,MEDIUM,1.0,,33.67,37.251,103.882
16,LEC,2.0,MEDIUM,2.0,29.011,33.345,36.977,99.333
16,LEC,3.0,MEDIUM,3.0,28.291,33.222,36.816,98.329
16,LEC,4.0,MEDIUM,4.0,28.652,32.902,36.947,98.501
16,LEC,5.0,MEDIUM,5.0,29.049,33.05,37.078,99.177
16,LEC,6.0,MEDIUM,6.0,28.48,33.213,36.959,98.652
16,LEC,7.0,MEDIUM,7.0,28.422,33.748,37.836,100.006
16,LEC,8.0,MEDIUM,8.0,29.279,34.579,37.983,101.841
16,LEC,9.0,MEDIUM,9.0,29.892,34.857,42.797,107.546
16,LEC,10.0,HARD,1.0,44.127,33.268,36.904,114.299
16,LEC,11.0,HARD,2.0,28.753,33.311,36.754,98.818
16,LEC,12.0,HARD,3.0,28.389,34.418,37.155,99.962
16,LEC,13.0,HARD,4.0,28.755,34.291,36.902,99.948
16,LEC,14.0,HARD,5.0,28.584,33.386,36.923,98.893
16,LEC,15.0,HARD,6.0,28.399,33.073,36.765,98.237
16,LEC,16.0,HARD,7.0,28.208,33.388,36.72,98.316
16,LEC,17.0,HARD,8.0,28.748,33.94,36.799,99.487
16,LEC,18.0,HARD,9.0,28.411,33.228,36.612,98.251
16,LEC,19.0,HARD,10.0,28.135,33.199,36.644,97.978
16,LEC,20.0,HARD,11.0,27.927,32.883,36.485,97.295
16,LEC,21.0,HARD,12.0,27.955,32.711,36.782,97.448
16,LEC,22.0,HARD,13.0,27.891,32.783,36.456,97.13
16,LEC,23.0,HARD,14.0,27.898,32.869,36.41,97.177
16,LEC,24.0,HARD,15.0,27.89,32.926,36.44,97.256
16,LEC,25.0,HARD,16.0,28.0,32.958,36.333,97.291
16,LEC,26.0,HARD,17.0,28.128,33.135,36.67,97.933
16,LEC,27.0,HARD,18.0,28.635,33.365,36.698,98.698
16,LEC,28.0,HARD,19.0,28.158,33.224,36.688,98.07
16,LEC,29.0,HARD,20.0,28.138,33.095,36.717,97.95
16,LEC,30.0,HARD,21.0,28.234,33.401,36.823,98.458
16,LEC,31.0,HARD,22.0,28.237,33.272,41.459,102.968
16,LEC,32.0,HARD,1.0,44.857,33.523,36.634,115.014
16,LEC,33.0,HARD,2.0,28.297,33.043,36.677,98.017
16,LEC,34.0,HARD,3.0,27.838,32.912,36.331,97.081
16,LEC,35.0,HARD,4.0,27.739,32.571,36.171,96.481
16,LEC,36.0,HARD,5.0,27.637,32.515,36.133,96.285
16,LEC,37.0,HARD,6.0,27.734,32.485,35.958,96.177
16,LEC,38.0,HARD,7.0,27.562,32.399,36.118,96.079
16,LEC,39.0,HARD,8.0,27.811,32.295,35.996,96.102
16,LEC,40.0,HARD,9.0,27.381,32.254,36.039,95.674
16,LEC,41.0,HARD,10.0,27.683,32.855,35.931,96.469
16,LEC,42.0,HARD,11.0,28.161,32.722,35.99,96.873
16,LEC,43.0,HARD,12.0,27.758,32.518,35.779,96.055
16,LEC,44.0,HARD,13.0,27.85,32.602,36.091,96.543
16,LEC,45.0,HARD,14.0,27.647,31.964,35.91,96.031
16,LEC,46.0,HARD,15.0,28.033,31.943,35.846,96.333
16,LEC,47.0,HARD,16.0,27.445,32.276,36.333,96.054
16,LEC,48.0,HARD,17.0,27.54,32.327,36.198,96.065
16,LEC,49.0,HARD,18.0,27.682,32.602,36.287,96.571
16,LEC,50.0,HARD,19.0,27.645,33.291,36.282,97.218
1,VER,1.0,MEDIUM,1.0,,34.022,37.425,105.917
1,VER,2.0,MEDIUM,2.0,29.082,33.747,37.032,99.861
1,VER,3.0,MEDIUM,3.0,28.787,33.51,37.048,99.345
1,VER,4.0,MEDIUM,4.0,28.534,33.227,36.952,98.713
1,VER,5.0,MEDIUM,5.0,28.26,32.914,37.298,98.472
1,VER,6.0,MEDIUM,6.0,28.399,33.201,37.061,98.661
1,VER,7.0,MEDIUM,7.0,28.416,33.306,37.184,98.906
1,VER,8.0,MEDIUM,8.0,28.37,33.78,36.897,99.047
1,VER,9.0,MEDIUM,9.0,28.592,33.765,37.433,99.79
1,VER,10.0,MEDIUM,10.0,28.569,34.393,37.102,100.064
1,VER,11.0,MEDIUM,11.0,28.87,33.837,41.644,104.351
1,VER,12.0,HARD,1.0,44.055,34.04,36.923,115.018
1,VER,13.0,HARD,2.0,28.313,32.988,37.006,98.307
1,VER,14.0,HARD,3.0,28.388,33.08,36.908,98.376
1,VER,15.0,HARD,4.0,28.255,33.435,36.958,98.648
1,VER,16.0,HARD,5.0,28.206,33.255,37.102,98.563
1,VER,17.0,HARD,6.0,27.967,33.041,37.047,98.055
1,VER,18.0,HARD,7.0,28.03,32.803,37.123,97.956
1,VER,19.0,HARD,8.0,28.04,32.763,36.875,97.678
1,VER,20.0,HARD,9.0,27.906,32.981,36.959,97.846
1,VER,21.0,HARD,10.0,27.902,32.732,36.956,97.59
1,VER,22.0,HARD,11.0,27.902,32.843,36.934,97.679
1,VER,23.0,HARD,12.0,27.885,32.798,36.841,97.524
1,VER,24.0,HARD,13.0,27.859,32.862,36.974,97.695
1,VER,25.0,HARD,14.0,28.019,32.968,37.051,98.038
1,VER,26.0,HARD,15.0,28.083,33.165,37.114,98.362
1,VER,27.0,HARD,16.0,28.206,33.54,41.362,103.108
1,VER,28.0,HARD,1.0,44.89,32.986,36.87,114.746
1,VER,29.0,HARD,2.0,27.921,32.573,36.892,97.386
1,VER,30.0,HARD,3.0,28.033,32.597,36.919,97.549
1,VER,31.0,HARD,4.0,27.861,32.81,37.325,97.996
1,VER,32.0,HARD,5.0,27.956,32.878,36.88,97.714
1,VER,33.0,HARD,6.0,27.946,32.971,36.662,97.579
1,VER,34.0,HARD,7.0,27.885,32.85,36.749,97.484
1,VER,35.0,HARD,8.0,27.87,32.72,36.653,97.243
1,VER,36.0,HARD,9.0,27.769,32.715,36.517,97.001
1,VER,37.0,HARD,10.0,27.711,32.599,36.41,96.72
1,VER,38.0,HARD,11.0,27.736,32.713,36.53,96.979
