DriverNumber,Driver,LapNumber,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,LapTime
1,VER,1.0,MEDIUM,1.0,,29.908,47.019,111.344
1,VER,2.0,MEDIUM,2.0,55.914,43.653,41.69,141.257
1,VER,3.0,MEDIUM,3.0,51.955,42.864,42.571,137.39
1,VER,4.0,MEDIUM,4.0,48.051,42.711,62.317,
1,VER,5.0,MEDIUM,5.0,32.248,29.054,25.422,86.724
1,VER,6.0,MEDIUM,6.0,32.141,29.044,25.317,86.502
1,VER,7.0,MEDIUM,7.0,32.062,28.973,25.341,86.376
1,VER,8.0,MEDIUM,8.0,32.029,29.033,25.218,86.28
1,VER,9.0,MEDIUM,9.0,31.963,29.032,25.205,86.2
1,VER,10.0,MEDIUM,10.0,31.908,29.002,25.063,85.973
1,VER,11.0,MEDIUM,11.0,31.923,28.93,24.955,85.808
1,VER,12.0,MEDIUM,12.0,31.866,29.005,25.032,85.903
1,VER,13.0,MEDIUM,13.0,31.903,28.955,24.985,85.843
1,VER,14.0,MEDIUM,14.0,31.899,28.998,24.915,85.812
1,VER,15.0,MEDIUM,15.0,31.819,28.962,24.917,85.698
1,VER,16.0,MEDIUM,16.0,31.776,28.999,24.83,85.605
1,VER,17.0,MEDIUM,17.0,31.727,28.954,24.779,85.46
1,VER,18.0,MEDIUM,18.0,31.6,28.89,24.589,85.079
1,VER,19.0,MEDIUM,19.0,31.713,28.894,24.702,85.309
1,VER,20.0,MEDIUM,20.0,31.57,28.845,24.481,84.896
1,VER,21.0,MEDIUM,21.0,31.578,28.803,24.589,84.97
1,VER,22.0,MEDIUM,22.0,31.559,28.869,24.48,84.908
1,VER,23.0,MEDIUM,23.0,31.542,28.855,24.459,84.856
1,VER,24.0,MEDIUM,24.0,31.522,28.842,24.461,84.825
1,VER,25.0,MEDIUM,25.0,31.487,28.807,24.408,84.702
1,VER,26.0,MEDIUM,26.0,31.528,28.774,24.473,84.775
1,VER,27.0,MEDIUM,27.0,31.48,28.776,24.464,84.72
1,VER,28.0,MEDIUM,28.0,31.554,28.728,24.437,84.719
1,VER,29.0,MEDIUM,29.0,31.506,28.938,24.417,84.861
1,VER,30.0,MEDIUM,30.0,32.006,28.661,24.46,85.127
1,VER,31.0,MEDIUM,31.0,31.331,28.66,24.422,84.413
1,VER,32.0,MEDIUM,32.0,31.35,28.605,24.472,84.427
1,VER,33.0,MEDIUM,33.0,31.382,28.648,24.32,84.35
1,VER,34.0,MEDIUM,34.0,31.402,28.639,24.427,84.468
1,VER,35.0,MEDIUM,35.0,31.358,28.651,32.298,92.307
1,VER,36.0,HARD,1.0,63.617,52.4,53.138,
1,VER,37.0,HARD,2.0,73.984,45.776,48.892,
1,VER,38.0,HARD,3.0,64.647,45.118,41.324,
1,VER,39.0,HARD,4.0,52.041,42.307,51.805,146.153
1,VER,40.0,HARD,5.0,32.495,28.608,38.333,99.436
1,VER,41.0,HARD,6.0,45.761,45.063,45.252,136.076
1,VER,42.0,HARD,7.0,49.03,43.045,57.008,149.083
1,VER,43.0,HARD,8.0,31.8,28.273,24.436,84.509
1,VER,44.0,HARD,9.0,31.171,28.141,24.221,83.533
1,VER,45.0,HARD,10.0,31.026,28.21,24.157,83.393
1,VER,46.0,HARD,11.0,31.045,28.104,24.221,83.37
1,VER,47.0,HARD,12.0,31.11,28.072,24.121,83.303
1,VER,48.0,HARD,13.0,31.055,28.226,24.142,83.423
1,VER,49.0,HARD,14.0,31.01,28.159,24.299,83.468
1,VER,50.0,HARD,15.0,31.006,28.109,24.206,83.321
1,VER,51.0,HARD,16.0,30.912,28.078,24.053,83.043
1,VER,52.0,HARD,17.0,30.936,28.109,24.117,83.162
1,VER,53.0,HARD,18.0,30.833,28.166,24.133,83.132
1,VER,54.0,HARD,19.0,30.855,28.119,24.032,83.006
1,VER,55.0,HARD,20.0,30.904,28.005,23.996,82.905
1,VER,56.0,HARD,21.0,30.895,28.11,24.364,83.369
1,VER,57.0,HARD,22.0,30.933,28.157,24.686,83.776
10,GAS,1.0,MEDIUM,1.0,,49.614,42.077,130.912
10,GAS,2.0,MEDIUM,2.0,51.905,45.644,46.258,143.807
10,GAS,3.0,MEDIUM,3.0,47.334,42.604,49.571,139.509
10,GAS,4.0,MEDIUM,4.0,40.906,40.187,51.995,133.088
10,GAS,5.0,MEDIUM,5.0,34.282,30.33,26.813,91.425
10,GAS,6.0,MEDIUM,6.0,32.726,29.765,25.927,88.418
10,GAS,7.0,MEDIUM,7.0,32.521,29.453,25.764,87.738
10,GAS,8.0,MEDIUM,8.0,32.603,29.575,25.703,87.881
10,GAS,9.0,MEDIUM,9.0,32.447,29.563,25.57,87.58
10,GAS,10.0,MEDIUM,10.0,32.868,29.806,25.598,88.272
10,GAS,11.0,MEDIUM,11.0,32.973,29.776,25.432,88.181
10,GAS,12.0,MEDIUM,12.0,32.795,29.655,25.377,87.827
10,GAS,13.0,MEDIUM,13.0,32.127,29.376,25.483,86.986
10,GAS,14.0,MEDIUM,14.0,32.414,29.277,25.32,87.011
10,GAS,15.0,MEDIUM,15.0,32.245,29.261,25.231,86.737
10,GAS,16.0,MEDIUM,16.0,32.303,29.209,25.188,86.7
10,GAS,17.0,MEDIUM,17.0,32.078,29.277,25.159,86.514
10,GAS,18.0,MEDIUM,18.0,32.118,29.355,25.221,86.694
10,GAS,19.0,MEDIUM,19.0,32.166,29.394,25.136,86.696
10,GAS,20.0,MEDIUM,20.0,32.071,29.356,24.942,86.369
